name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00420_me_co_t1,meningioma,coronal,0.0457763671875,medium,medium 1%-5%,0.9805499911308289,0.9618421196937561,0.9865047335624695,0.9746666550636292
brisc2025_test_00421_me_co_t1,meningioma,coronal,0.03948974609375,medium,medium 1%-5%,0.8668407201766968,0.764976978302002,0.9920318722724915,0.7697063088417053
brisc2025_test_00422_me_co_t1,meningioma,coronal,0.03228759765625,medium,medium 1%-5%,0.9726672768592834,0.9467889666557312,0.969924807548523,0.9754253029823303
brisc2025_test_00423_me_co_t1,meningioma,coronal,0.006103515625,small,small < 1%,0.8117154836654663,0.6830986142158508,0.6978417038917542,0.9700000286102295
brisc2025_test_00424_me_co_t1,meningioma,coronal,0.017333984375,medium,medium 1%-5%,0.901098906993866,0.8199999928474426,0.9389312863349915,0.8661971688270569
brisc2025_test_00425_me_co_t1,meningioma,coronal,0.02484130859375,medium,medium 1%-5%,0.9766871333122253,0.9544364213943481,0.9754902124404907,0.977886974811554
brisc2025_test_00426_me_co_t1,meningioma,coronal,0.00921630859375,small,small < 1%,0.9166666865348816,0.8461538553237915,0.888198733329773,0.9470198750495911
brisc2025_test_00427_me_co_t1,meningioma,coronal,0.01953125,medium,medium 1%-5%,0.9265367388725281,0.8631284832954407,0.890489935874939,0.965624988079071
brisc2025_test_00428_me_co_t1,meningioma,coronal,0.01171875,medium,medium 1%-5%,0.8522727489471436,0.7425742745399475,0.9375,0.78125
brisc2025_test_00429_me_co_t1,meningioma,coronal,0.013671875,medium,medium 1%-5%,0.7870619893074036,0.648888885974884,0.9931972622871399,0.6517857313156128
brisc2025_test_00430_me_co_t1,meningioma,coronal,0.015869140625,medium,medium 1%-5%,0.969111979007721,0.9400749206542969,0.9728682041168213,0.9653846025466919
brisc2025_test_00431_me_co_t1,meningioma,coronal,0.00665283203125,small,small < 1%,0.9279279112815857,0.8655462265014648,0.9115044474601746,0.9449541568756104
brisc2025_test_00432_me_co_t1,meningioma,coronal,0.0087890625,small,small < 1%,0.9652777910232544,0.9328858852386475,0.9652777910232544,0.9652777910232544
brisc2025_test_00433_me_co_t1,meningioma,coronal,0.00531005859375,small,small < 1%,0.9826589822769165,0.9659090638160706,0.9883720874786377,0.977011501789093
brisc2025_test_00434_me_co_t1,meningioma,coronal,0.0126953125,medium,medium 1%-5%,0.9550827145576477,0.9140271544456482,0.9395349025726318,0.9711538553237915
brisc2025_test_00435_me_co_t1,meningioma,coronal,0.00775146484375,small,small < 1%,0.9090909361839294,0.8333333134651184,0.9126983880996704,0.9055117964744568
brisc2025_test_00436_me_co_t1,meningioma,coronal,0.01495361328125,medium,medium 1%-5%,0.9426751732826233,0.891566276550293,0.982300877571106,0.9061224460601807
brisc2025_test_00437_me_co_t1,meningioma,coronal,0.0081787109375,small,small < 1%,0.818461537361145,0.6927083134651184,0.6963350772857666,0.9925373196601868
brisc2025_test_00438_me_co_t1,meningioma,coronal,0.0208740234375,medium,medium 1%-5%,0.9258241653442383,0.861892580986023,0.8730570077896118,0.9853801131248474
brisc2025_test_00439_me_co_t1,meningioma,coronal,0.02056884765625,medium,medium 1%-5%,0.9598811268806458,0.9228571653366089,0.961309552192688,0.9584569931030273
brisc2025_test_00440_me_co_t1,meningioma,coronal,0.003173828125,small,small < 1%,0.9306930899620056,0.8703703880310059,0.9591836929321289,0.9038461446762085
brisc2025_test_00441_me_co_t1,meningioma,coronal,0.01348876953125,medium,medium 1%-5%,0.9623059630393982,0.9273504018783569,0.9434782862663269,0.9819004535675049
brisc2025_test_00442_me_co_t1,meningioma,coronal,0.02130126953125,medium,medium 1%-5%,0.9422222375869751,0.8907563090324402,0.9754601120948792,0.9111747741699219
brisc2025_test_00443_me_co_t1,meningioma,coronal,0.0106201171875,medium,medium 1%-5%,0.9704142212867737,0.9425287246704102,1.0,0.9425287246704102
brisc2025_test_00444_me_co_t1,meningioma,coronal,0.00408935546875,small,small < 1%,0.8633093237876892,0.7594936490058899,0.8333333134651184,0.89552241563797
brisc2025_test_00445_me_co_t1,meningioma,coronal,0.044189453125,medium,medium 1%-5%,0.9805825352668762,0.961904764175415,0.984679639339447,0.9765193462371826
brisc2025_test_00446_me_co_t1,meningioma,coronal,0.02423095703125,medium,medium 1%-5%,0.8651685118675232,0.7623762488365173,0.9777777791023254,0.7758186459541321
brisc2025_test_00447_me_co_t1,meningioma,coronal,0.02490234375,medium,medium 1%-5%,0.9754299521446228,0.9520383477210999,0.9778324961662292,0.9730392098426819
brisc2025_test_00448_me_co_t1,meningioma,coronal,0.01385498046875,medium,medium 1%-5%,0.959276020526886,0.9217391014099121,0.9860464930534363,0.933920681476593
brisc2025_test_00449_me_co_t1,meningioma,coronal,0.00946044921875,small,small < 1%,0.8580060601234436,0.7513227462768555,0.8068181872367859,0.9161290526390076
brisc2025_test_00450_me_co_t1,meningioma,coronal,0.02667236328125,medium,medium 1%-5%,0.9683470129966736,0.9386363625526428,0.9927884340286255,0.9450801014900208
brisc2025_test_00451_me_co_t1,meningioma,coronal,0.0244140625,medium,medium 1%-5%,0.9314079284667969,0.8716216087341309,0.8979118466377258,0.9674999713897705
brisc2025_test_00452_me_co_t1,meningioma,coronal,0.0054931640625,small,small < 1%,0.9545454382896423,0.9130434989929199,0.9767441749572754,0.9333333373069763
brisc2025_test_00453_me_co_t1,meningioma,coronal,0.0145263671875,medium,medium 1%-5%,0.9707112908363342,0.9430894255638123,0.9666666388511658,0.9747899174690247
brisc2025_test_00454_me_co_t1,meningioma,coronal,0.0162353515625,medium,medium 1%-5%,0.9006085395812988,0.8191881775856018,0.9779735803604126,0.8345864415168762
brisc2025_test_00455_me_co_t1,meningioma,coronal,0.011474609375,medium,medium 1%-5%,0.8724489808082581,0.773755669593811,0.8382353186607361,0.9095744490623474
brisc2025_test_00456_me_co_t1,meningioma,coronal,0.00537109375,small,small < 1%,0.9431818127632141,0.8924731016159058,0.9431818127632141,0.9431818127632141
brisc2025_test_00457_me_co_t1,meningioma,coronal,0.0074462890625,small,small < 1%,0.9469387531280518,0.8992248177528381,0.9430894255638123,0.9508196711540222
brisc2025_test_00458_me_co_t1,meningioma,coronal,0.01629638671875,medium,medium 1%-5%,0.9536178112030029,0.911347508430481,0.9448529481887817,0.9625468254089355
brisc2025_test_00459_me_co_t1,meningioma,coronal,0.01593017578125,medium,medium 1%-5%,0.9477611780166626,0.9007092118263245,0.9236363768577576,0.9731800556182861
brisc2025_test_00460_me_co_t1,meningioma,coronal,0.005126953125,small,small < 1%,0.9012345671653748,0.8202247023582458,0.9358974099159241,0.8690476417541504
brisc2025_test_00461_me_co_t1,meningioma,coronal,0.03790283203125,medium,medium 1%-5%,0.9814963936805725,0.9636650681495667,0.9807074069976807,0.9822866320610046
brisc2025_test_00462_me_co_t1,meningioma,coronal,0.0355224609375,medium,medium 1%-5%,0.9036482572555542,0.8242321014404297,0.9917864203453064,0.8298969268798828
brisc2025_test_00463_me_co_t1,meningioma,coronal,0.0108642578125,medium,medium 1%-5%,0.9446064233779907,0.8950276374816895,0.9818181991577148,0.9101123809814453
brisc2025_test_00464_me_co_t1,meningioma,coronal,0.03594970703125,medium,medium 1%-5%,0.9821882843971252,0.9649999737739563,0.9813559055328369,0.9830220937728882
brisc2025_test_00465_me_co_t1,meningioma,coronal,0.02655029296875,medium,medium 1%-5%,0.9716231822967529,0.9448123574256897,0.9596412777900696,0.9839080572128296
brisc2025_test_00466_me_co_t1,meningioma,coronal,0.0048828125,small,small < 1%,0.9047619104385376,0.8260869383811951,0.8636363744735718,0.949999988079071
brisc2025_test_00467_me_co_t1,meningioma,coronal,0.04534912109375,medium,medium 1%-5%,0.7241674065589905,0.5676037669181824,0.9906542301177979,0.5706595182418823
brisc2025_test_00468_me_co_t1,meningioma,coronal,0.0364990234375,medium,medium 1%-5%,0.9890664219856262,0.9783693552017212,0.9949238300323486,0.9832776188850403
brisc2025_test_00469_me_co_t1,meningioma,coronal,0.01788330078125,medium,medium 1%-5%,0.982876718044281,0.9663299918174744,0.9862542748451233,0.979522168636322
brisc2025_test_00470_me_co_t1,meningioma,coronal,0.00634765625,small,small < 1%,0.942307710647583,0.8909090757369995,0.942307710647583,0.942307710647583
brisc2025_test_00471_me_co_t1,meningioma,coronal,0.01171875,medium,medium 1%-5%,0.4902723729610443,0.32474225759506226,0.9692307710647583,0.328125
brisc2025_test_00472_me_co_t1,meningioma,coronal,0.02337646484375,medium,medium 1%-5%,0.9654255509376526,0.9331619739532471,0.9837398529052734,0.9477806687355042
brisc2025_test_00473_me_co_t1,meningioma,coronal,0.034423828125,medium,medium 1%-5%,0.9768683314323425,0.9547826051712036,0.9803571701049805,0.9734042286872864
brisc2025_test_00474_me_co_t1,meningioma,coronal,0.025390625,medium,medium 1%-5%,0.9808153510093689,0.9623529314994812,0.9784688949584961,0.9831730723381042
brisc2025_test_00475_me_co_t1,meningioma,coronal,0.00787353515625,small,small < 1%,0.96875,0.939393937587738,0.9763779640197754,0.961240291595459
